Name,DefaultColumns
tblDHColl,"Hole_ID,Hole_Type,Max_Depth,NAT_East,NAT_North,NAT_RL,Collar_Dip,"
tblDHSurv,"Hole_ID,MAG_Azimuth,Dip,Depth"
tblDHSamp,"Hole_ID,SampleID,Depth_From,Depth_To,Sample_Type,Sampled_Date"
tblDHVeins,"Hole_ID,Depth_From,Depth_To"
tblDHLithology,"Hole_ID,Depth_From,Depth_To"
tblDHGeology,"Hole_ID,Depth_From,Depth_To"
tblDHMinerals,"Hole_ID,Depth_From,Depth_To"
tblDHGrouting,"Hole_ID,Depth_From,Depth_To"
tblDHAlteration,"Hole_ID,Depth_From,Depth_To"
tblDHGeophysics,"Hole_ID,Depth_From,Depth_To"
tblDHGeotech,"Hole_ID,Depth_From,Depth_To"
tblLSSite,"Line_ID,Linear_Type,Max_Length,NAT_East,NAT_North,NAT_RL"
tblPTSite,"Site_ID,Site_Type,NAT_North,NAT_East,NAT_RL"
tblPTSamp,"SampleID,Sample_Type,NAT_North,NAT_East,NAT_RL"
tblDHWater,"Hole_ID,Depth,Depth_To,Water_Intersection_Type"
tblDHMagSus,"Hole_ID,Depth_From,Depth_To"
tblDHCoreRecoveryRun,"Hole_ID,Depth_From,Depth_To,Recovery_Interval"
tblDHWeathering,"Hole_ID,Depth_From,Depth_To,Weath_Code"
tblDHSampQC,"SampleID,Orig_SampleID,QC_Category,Hole_ID,Depth_From,Depth_To"
tblPTSampQC,"Site_ID,SampleID,QC_Category,Orig_SampleID,Historic_SampleID"
tblDHMetaData,"Hole_ID,Depth_From,Depth_To,Interval_Length,Hole_Type"
tblVWXRFDHResults,"Hole_ID,Depth_From,Depth_To,SampleID,Reading,Mode"
tblVWPTSamp,"SampleID,Site_ID,Site_Type,Sample_Type,Sampled_Date,Mesh_Size,Sample_Weight,LL_Lat,LL_Long,LL_RL"
tblVWXRFResults,"SampleID,Sample_Type,LL_Lat,LL_Long,LL_RL"